trade_date,sentiment,total_trades,total_volume_usd,avg_trade_size,total_pnl,avg_pnl,pnl_std
2024-07-02,Greed,18,33347.47,1852.6372222222224,2421.253116,134.514062,226.36405308073617
2024-07-03,Greed,18,179600.66,9977.814444444444,1118.387284,62.132626888888886,130.94390209637675
2024-07-04,Fear,25,430568.01,17222.720400000002,0.0,0.0,0.0
2024-07-05,Fear,32,272289.89,8509.0590625,0.0,0.0,0.0
2024-07-06,Fear,24,2490.17,103.75708333333334,108.87217799999999,4.53634075,10.03473956812726
2024-07-07,Fear,10,498.75,49.875,61.428942,6.1428942,4.100173833321266
2024-07-08,Fear,1,497.64,497.64,0.0,0.0,
2024-07-09,Fear,15,2736.45,182.42999999999998,648.984412,43.265627466666665,40.13596510326193
2024-07-10,Fear,56,687900.21,12283.93232142857,11977.734907,213.88812333928573,337.8156690082534
2024-07-11,Fear,19,169887.02,8941.422105263156,1876.812082,98.77958326315789,150.16378122148163
2024-07-12,Fear,19,89582.97,4714.893157894737,1412.314654,74.33235021052631,112.44287174423458
2024-07-13,Fear,17,139189.19,8187.599411764706,2913.617837,171.38928452941175,173.27801983740284
2024-07-14,Fear,7,84001.13,12000.16142857143,0.0,0.0,0.0
2024-07-15,Greed,26,198344.85,7628.6480769230775,-1.0,-0.038461538461538464,0.1400758054109933
2024-07-16,Greed,22,144000.57,6545.480454545454,0.0,0.0,0.0
2024-07-17,Greed,351,626005.53,1783.4915384615385,1859.269477,5.297064037037037,11.718171265834037
2024-07-18,Greed,60,649704.85,10828.414166666666,3803.884311,63.398071849999994,87.92602091436942
2024-07-19,Greed,23,150269.42,6533.453043478262,2155.891114,93.73439626086956,179.87386804302622
2024-07-20,Greed,266,244362.21,918.65492481203,2299.169566,8.643494609022557,53.62978209591339
2024-07-21,Greed,448,234307.46,523.0077232142856,-2960.716887,-6.608743051339286,11.365602294450625
2024-07-22,Greed,154,304213.8,1975.4142857142856,1517.119876,9.851427766233765,72.41291986688015
2024-07-23,Greed,370,358526.54,968.9906486486486,89890.302206,242.9467627189189,513.7954073277451
2024-07-24,Greed,90,69207.93,768.977,625.561479,6.9506831,19.95680710255259
2024-07-25,Greed,78,528555.31,6776.350128205129,916.7382600000001,11.753054615384617,40.81134378827734
2024-07-26,Greed,152,548587.65,3609.1292763157894,2766.513113,18.200744164473683,50.86868522207445
2024-07-27,Greed,57,905199.75,15880.697368421053,6400.623656,112.2916430877193,157.88829917379803
2024-07-28,Greed,16,43254.68,2703.4175,587.29903,36.706189375,36.25797427381541
2024-07-29,Greed,39,327199.14,8389.72153846154,330.80445399999996,8.482165487179486,21.730673754432168
2024-07-30,Greed,6,36006.47,6001.078333333334,0.0,0.0,0.0
2024-07-31,Greed,43,84506.54,1965.2683720930231,765.690884,17.806764744186047,45.986517776302854
2024-08-01,Greed,57,227774.53,3996.044385964912,167.080017,2.9312283684210527,23.197203266011744
2024-08-02,Greed,63,396320.37,6290.799523809524,782.3681909999999,12.418542714285714,44.14907581961201
